zip,username,url,age,profile_image,match,enemy
02108,alexiscarpe,www.okcupid.com/profile/alexiscarpe,24,https://k0.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x144/750x894/2/11847003860380233045.jpeg?v=1,90,20
02108,marbri92,www.okcupid.com/profile/marbri92,24,https://k1.okccdn.com/php/load_okc_image.php/images/400x400/400x400/215x443/1079x1307/2/16685952929420675444.jpeg?v=1,90,10
02108,songsaboutnicole,www.okcupid.com/profile/songsaboutnicole,28,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/1280x1280/2/3689439110711772889.jpeg?v=1,90,17
02108,slowtides,www.okcupid.com/profile/slowtides,25,https://k1.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/0x0/2/18139438208180540497.jpeg?v=1,90,16
02108,Stace_yo,www.okcupid.com/profile/Stace_yo,28,https://k3.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/720x720/2/5865245738899913410.jpeg?v=1,90,21

02901,aaandscene,www.okcupid.com/profile/aaandscene,29,https://k0.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/0x0/2/18142252015396686434.jpeg?v=1,96,9
02901,theritzkracker,www.okcupid.com/profile/theritzkracker,27,https://k1.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x89/719x808/2/15805790415350800745.jpeg?v=1,95,19
02901,containerytheory,www.okcupid.com/profile/containerytheory,29,https://k0.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/960x960/2/8859384473077443347.jpeg?v=1,95,17
02901,GabbyZAL,www.okcupid.com/profile/GabbyZAL,25,https://k3.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x13/706x719/2/3395737676198651801.jpeg?v=1,95,16
02901,mollyclare6,www.okcupid.com/profile/mollyclare6,25,https://k3.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/320x568/2/4972096087614199168.jpeg?v=1,95,6
02901,UrBrownEyedGirl8,www.okcupid.com/profile/UrBrownEyedGirl8,28,https://k3.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x15/960x975/2/312047327703678689.jpeg?v=1,94,14
02901,feminem95u,www.okcupid.com/profile/feminem95u,21,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/1280x1280/2/772603623958625636.jpeg?v=1,94,18
02901,swest1248,www.okcupid.com/profile/swest1248,22,https://k3.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/487x487/2/5172975211057530597.jpeg?v=1,94,13
02901,afortier23,www.okcupid.com/profile/afortier23,25,https://k1.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x12/639x651/2/6043020955657482141.jpeg?v=1,94,19
02901,MountainGirlxx,www.okcupid.com/profile/MountainGirlxx,23,https://k0.okccdn.com/php/load_okc_image.php/images/400x400/400x400/20x20/380x380/2/4670235088370275397.jpeg?v=1,94,22
02901,kkh0liday26,www.okcupid.com/profile/kkh0liday26,29,https://k3.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x6/234x240/2/13341104322944923177.jpeg?v=1,94,16
02901,tarajacklab,www.okcupid.com/profile/tarajacklab,23,https://k1.okccdn.com/php/load_okc_image.php/images/400x400/400x400/176x155/1328x1307/2/8232697928417216060.jpeg?v=1,94,19
02901,riahope,www.okcupid.com/profile/riahope,26,https://k1.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/960x960/2/11640754734655035180.jpeg?v=1,93,5
02901,oh_kay9,www.okcupid.com/profile/oh_kay9,29,https://k0.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/492x492/2/14618915920912742012.jpeg?v=1,93,25
02901,giugiu101,www.okcupid.com/profile/giugiu101,25,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/94x0/814x720/2/7615683111762175583.jpeg?v=1,93,6
02901,cosmic-em,www.okcupid.com/profile/cosmic-em,28,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/47x41/534x528/2/5553923332838823513.jpeg?v=1,93,11
02901,Armadainai,www.okcupid.com/profile/Armadainai,24,https://k0.okccdn.com/php/load_okc_image.php/images/400x400/400x400/9x1/391x383/2/14718295644902042577.jpeg?v=1,93,20
